OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-11089 [DTC],2024-065F,2026-03-14T07:03:28.041984,15.69702108,.0001358,53.1574,71.3939,77.2031,282.9139,0,U,59426,999,11224,-.14069136E-4,-.2292E-4,0
STARLINK-31757,2024-065G,2026-03-14T16:15:22.448160,15.30335449,.00010836,53.1608,258.4732,321.0884,39.0039,0,U,59427,999,10969,-.10591051E-2,-.31725E-3,0
STARLINK-31773,2024-065J,2026-03-14T22:05:04.486848,15.30209828,.00010597,53.1596,259.2676,59.7015,300.4091,0,U,59429,999,10970,-.36386687E-4,-.1437E-4,0
STARLINK-31772,2024-065K,2026-03-14T22:08:53.431296,15.30179797,.00014094,53.1608,257.1506,85.8737,274.2425,0,U,59430,999,10973,.85040167E-4,.2159E-4,0
STARLINK-31613,2024-065L,2026-03-14T19:19:00.900192,15.30197786,.00010325,53.1591,257.8384,89.5020,270.6099,0,U,59431,999,10971,.40475358E-4,.84E-5,0
STARLINK-31780,2024-065M,2026-03-14T19:29:38.889888,15.30197865,.00012861,53.1592,257.8809,94.8741,265.2407,0,U,59432,999,10971,.32537358E-4,.605E-5,0
STARLINK-31740,2024-065N,2026-03-14T22:02:02.859360,15.30195532,.00012893,53.1587,259.2555,90.5811,269.5338,0,U,59433,999,10970,.40250031E-4,.833E-5,0
STARLINK-31580,2024-065P,2026-03-14T17:32:03.003648,15.30191898,.00009383,53.1596,260.2125,56.2696,303.8394,0,U,59434,999,10967,.70869298E-4,.174E-4,0
STARLINK-31696,2024-065Q,2026-03-14T19:14:27.248064,15.30201248,.00011539,53.1599,257.8177,77.5611,282.5518,0,U,59435,999,10971,.5561371E-5,-.194E-5,0
STARLINK-31700,2024-065R,2026-03-14T22:13:26.356800,15.30201073,.000101,53.1590,257.1688,75.3701,284.7412,0,U,59436,999,10973,.47334692E-4,.1043E-4,0
STARLINK-31706,2024-065S,2026-03-14T17:21:24.477408,15.30198781,.00011371,53.1592,260.1774,92.0358,268.0773,0,U,59437,999,10967,.21811273E-4,.287E-5,0
STARLINK-31711,2024-065T,2026-03-14T22:18:00.432288,15.30190819,.0001334,53.1599,257.1885,102.8377,257.2773,0,U,59438,999,10973,-.2593434E-4,-.1127E-4,0
STARLINK-31708,2024-065U,2026-03-14T18:56:12.995520,15.30201286,.00010788,53.1585,257.7362,78.4845,281.6277,0,U,59439,999,10971,.22136776E-4,.297E-5,0
STARLINK-31693,2024-065W,2026-03-14T21:06:44.658720,15.30192384,.00012117,53.1595,257.5888,98.3967,261.7171,0,U,59441,999,10972,.6494724E-5,-.167E-5,0
TSAT-1A,2024-066A,2026-03-14T21:47:15.577152,15.33370800,.00110791,45.6161,275.0580,289.9727,69.9974,0,U,59442,999,10729,.51992509E-3,.16835E-3,0
HAWK-8A,2024-066B,2026-03-14T22:33:01.728576,14.98794887,.00042591,45.5944,43.7773,276.0539,83.9857,0,U,59443,999,10569,.20903096E-3,.2327E-4,0
CAPELLA-14 (ACADIA-4),2024-066C,2026-03-14T22:11:18.904704,15.10794972,.00044543,45.6044,32.4634,149.1728,210.9420,0,U,59444,999,9821,.15161689E-2,.25418E-3,0
HAWK-8B,2024-066D,2026-03-14T22:33:36.654912,14.98797853,.00042524,45.6197,45.4710,280.1887,79.8515,0,U,59445,999,10568,.21410362E-3,.2389E-4,0
HAWK-9A,2024-066E,2026-03-13T08:43:37.429824,14.98799717,.00036916,45.6092,52.3998,260.0802,99.9663,0,U,59446,999,10545,.22296329E-3,.2497E-4,0
QPS-SAR-7 (TSUKUYOMI-II),2024-066F,2026-03-14T23:36:33.194592,15.07617952,.00004158,45.6056,19.2504,210.6815,149.4046,0,U,59447,999,10600,.65545976E-3,.99E-4,0
